# Labelled filename corpus — research item R8 (docs/10 §2).
#
# The accuracy benchmark for the parser. Every row is a naming convention that occurs in real
# libraries; every failure is a class of silently mismatched files.
#
# Format, tab-separated:
#   filename <TAB> expected_title <TAB> expected_year <TAB> expected_episode
#
# expected_year:    a year, or `-` for none
# expected_episode: `-` none | `S01E01` | `S01E01+E02` multi | `S01` season only
#                   | `abs:28` absolute | `date:2024-01-15` date-based
#
# A row whose expectation is genuinely debatable is marked with a trailing `# note:` comment on the
# preceding line. Do not "fix" the parser to satisfy a row without checking the row is right.

# ── Movies: scene naming ─────────────────────────────────────────────────────────────────────────
Blade.Runner.1982.The.Final.Cut.2160p.UHD.BluRay.REMUX.DV.HDR.mkv	Blade Runner	1982	-
Aliens.1986.Special.Edition.Open.Matte.1080p.mkv	Aliens	1986	-
Dances.With.Wolves.1990.Extended.Uncut.1080p.BluRay.mkv	Dances With Wolves	1990	-

# ── Samples and extras, which must be excluded from the library ──────────────────────────────────
Some.Movie.2020.1080p.BluRay-GROUP.sample.mkv	Some Movie	2020	-
# note: a leading `sample-` is stripped and the file flagged, so the title behind it still parses.
sample-Another.Movie.2019.720p.mkv	Another Movie	2019	-

# ── Disc structures and remux naming ─────────────────────────────────────────────────────────────
The.Dark.Knight.2008.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR.mkv	The Dark Knight	2008	-
Heat.1995.BDRemux.1080p.DTS-HD.MA.5.1.mkv	Heat	1995	-

# ── Awkward but legal: no extension, odd separators, mixed case ──────────────────────────────────
Parasite (2019)	Parasite	2019	-
PARASITE_2019_2160p_UHD_BLURAY_X265	PARASITE	2019	-
tenet~2020~1080p~webrip.mkv	tenet	2020	-

# ── Degenerate input: must not panic and must not invent a title ─────────────────────────────────
.mkv	-	-	-
1080p.mkv	-	-	-
S01E01.mkv	-	-	S01E01
[A1B2C3D4].mkv	-	-	-
